Designator/Reference;Values;Housing;Classification;Part Number;Comment
U1;;;ESP-8266 based module;WEMOS D1 mini;
C1;1nF – 100 nF, min. 10V;THT, pitch 2,5mm, foil/disk;Capacitor;;
R19;None;None;None;None;Contact Area for Analog-Input
C2, C3;100µF, 10V;THT, axial, length 10,5mm, diameter 6mm;;;
D10;If=200mA, Vf=650mV;THT, DO-35 (diameter of pins <0.6mm);Schottky Diode;BAT42, BAT86 or simular;
SW1A;>10V, >0,5A,  1P2T 3Pin;THT, pitch 2,5mm, diameter of Pins 0,5mm;Micro Slide Switch;;
P1;2pin ;THT, pitch 2,54mm;header or cable;;
P4;2pin ;THT, pitch 2,54mm;male header;;
P5;3pin ;THT, pitch 2,54mm;male header;;
P2, P3;8pin;THT, pitch 2,54mm;female header;;
R7;0ohm, ¼ watts;THT;Resistor;;Value fits most low current-LEDs
D3;;LED Housing, diameter 5mm;LED;PL9823-5mm;Caution! PL9823-8mm has a different pin-out
;;;;;
Battery Pack;3x AAA(Mignon);;;;
